prevalence,n_positives,n_negatives_simulated,n_population,recall_mean,recall_std,recall_median,precision_mean,precision_std,precision_median,positive_f1_mean,positive_f1_std,fp_tp_mean,fp_tp_std,fp_tp_median,nnr_mean,nnr_median,accuracy_mean,review_burden_mean,tp_mean,fp_mean,n_bootstrap
0.01,109,10791,10900,0.7064220183486238,0.0,0.7064220183486238,0.014746562319102907,0.00014765794757964576,0.014745308310991957,0.028889986825798658,0.00028335528727601054,66.81920779220779,0.678490675490789,66.81818181818181,67.81920779220779,67.81818181818183,0.525038623853211,0.4790898165137614,77.0,5145.079,1000
0.03,109,3524,3633,0.7064220183486238,0.0,0.7064220183486238,0.04381072097088922,0.0007178062506232268,0.04379977246871445,0.08250346734845235,0.0012727053843775988,21.831584415584413,0.37371356361111446,21.83116883116883,22.831584415584416,22.83116883116883,0.5284800440407377,0.483906413432425,77.0,1681.032,1000
0.05,109,2071,2180,0.7064220183486238,0.0,0.7064220183486238,0.07226762752678204,0.0014838110843956912,0.07223264540337711,0.13111676059693964,0.002441506004263844,12.843272727272728,0.28349949601992,12.844155844155845,13.843272727272728,13.844155844155845,0.5316825688073394,0.48895963302752293,77.0,988.932,1000
0.1,109,981,1090,0.7064220183486238,0.0,0.7064220183486238,0.1414680770405839,0.004107925458580267,0.14154411764705882,0.23570143665322116,0.005700213796150322,6.074688311688311,0.2053003998398372,6.064935064935065,7.074688311688311,7.0649350649350655,0.5415128440366973,0.49977155963302755,77.0,467.751,1000
0.15,109,618,727,0.7064220183486238,0.0,0.7064220183486238,0.20716788896451432,0.006913952323614217,0.20698924731182797,0.32031748842590274,0.008257956909235229,3.8323636363636364,0.16079869802087424,3.831168831168831,4.832363636363636,4.831168831168831,0.550079779917469,0.511818431911967,77.0,295.092,1000
0.2,109,436,545,0.7064220183486238,0.0,0.7064220183486238,0.2708157988090166,0.009842218437590622,0.27017543859649124,0.3914290787014292,0.010281987279007778,2.6974285714285715,0.13449379492627822,2.7012987012987013,3.6974285714285715,3.7012987012987013,0.5601798165137615,0.5223889908256881,77.0,207.702,1000
0.25,109,327,436,0.7064220183486238,0.0,0.7064220183486238,0.33047210300429175,1.1102230246251565e-16,0.33047210300429186,0.4502923976608189,1.6653345369377348e-16,2.0259740259740258,0.0,2.0259740259740258,3.025974025974025,3.0259740259740258,0.5688073394495411,0.5344036697247707,77.0,156.0,1000
