task,description,positive_class,n_total,n_positive,n_negative,baseline,roc_auc,pr_auc,best_threshold,best_f1,precision_at_best,recall_at_best,tp,fp,fn,tn,confusion_matrix_at_best
supported_vs_overclaim,Binary: supported (0) vs overclaim (1=mid+strong+contra),overclaim,444,333,111,rule_scalar_score,0.5136352568785001,0.7563015341494937,1.0,0.7465857359635811,0.754601226993865,0.7387387387387387,246,80,87,31,"TP=246,FP=80,FN=87,TN=31"
supported_vs_overclaim,Binary: supported (0) vs overclaim (1=mid+strong+contra),overclaim,200,150,50,llm_scalar_proxy,0.8533333333333333,0.9266666666666667,1.0,0.828125,1.0,0.7066666666666667,106,0,44,50,"TP=106,FP=0,FN=44,TN=50"
mild_vs_strong,Binary: mild_scope_overclaim (0) vs strong_action_overclaim (1),strong_action_overclaim,222,111,111,rule_scalar_score,0.506208911614317,0.5016316457558143,1.0,0.610909090909091,0.5121951219512195,0.7567567567567568,84,80,27,31,"TP=84,FP=80,FN=27,TN=31"
mild_vs_strong,Binary: mild_scope_overclaim (0) vs strong_action_overclaim (1),strong_action_overclaim,100,50,50,llm_scalar_proxy,0.5874,0.5930686172065482,1.0,0.5740740740740741,0.5344827586206896,0.62,31,27,19,23,"TP=31,FP=27,FN=19,TN=23"
strong_vs_contradiction,Binary: strong_action_overclaim (0) vs contradiction_candidate (1),contradiction_candidate,222,111,111,rule_scalar_score,0.5232529827124421,0.5208594466722871,1.0,0.592057761732852,0.4939759036144578,0.7387387387387387,82,84,29,27,"TP=82,FP=84,FN=29,TN=27"
strong_vs_contradiction,Binary: strong_action_overclaim (0) vs contradiction_candidate (1),contradiction_candidate,100,50,50,llm_scalar_proxy,0.8512,0.7985113924050632,3.0,0.84,0.84,0.84,42,8,8,42,"TP=42,FP=8,FN=8,TN=42"
strong_vs_nonstrong,Binary: strong_action_overclaim (1) vs all others (0),strong_action_overclaim,444,111,333,rule_scalar_score,0.4970781592403214,0.24643195772535006,1.0,0.38443935926773454,0.25766871165644173,0.7567567567567568,84,242,27,91,"TP=84,FP=242,FN=27,TN=91"
strong_vs_nonstrong,Binary: strong_action_overclaim (1) vs all others (0),strong_action_overclaim,200,50,150,llm_scalar_proxy,0.5154000000000001,0.2504753977062523,1.0,0.3974358974358974,0.29245283018867924,0.62,31,75,19,75,"TP=31,FP=75,FN=19,TN=75"
