path,category,exists,size_bytes,last_modified,status,notes
docs/simclaim_eval_v1_data_status.md,doc,true,4614,2026-07-06T19:39:38.326138+00:00,exists,
docs/simclaim_paper_full_data_generation_rules.md,documentation,true,3329,2026-07-01T15:20:19.338332+00:00,exists,
docs/tfidf_as_leakage_auditor.md,documentation,true,5229,2026-07-01T15:12:23.972454+00:00,exists,
docs/toy_demo.md,documentation,true,2274,2026-07-06T18:13:37.279661+00:00,exists,
experiments/README.md,experiment_output,true,9255,2026-07-05T18:30:07.139107+00:00,exists,
experiments/bm25_sentence_retrieval_v1/blocked_by_missing_pdf_corpus.json,experiment_output,true,1171,2026-07-06T16:39:12.662656+00:00,exists,
experiments/bm25_sentence_retrieval_v1/leakage_guard_report.json,experiment,true,1499,2026-07-07T09:40:04.508185+00:00,exists,
experiments/bm25_sentence_retrieval_v1/oracle_recall_summary.json,experiment,true,391,2026-07-07T09:40:04.458713+00:00,exists,
experiments/bm25_sentence_retrieval_v1/retrieval_config.json,experiment,true,314,2026-07-07T09:40:04.458713+00:00,exists,
experiments/bm25_sentence_retrieval_v1/retrieval_examples_redacted.csv,experiment,true,148227,2026-07-07T09:40:04.465293+00:00,exists,
experiments/bm25_sentence_retrieval_v1/retrieval_results_sentence_bm25.csv,experiment,true,1377381,2026-07-07T09:40:04.415955+00:00,warning,forbidden_column:retrieved_text
experiments/bm25_sentence_retrieval_v1/retrieval_results_window_bm25.csv,experiment,true,2977929,2026-07-07T09:40:04.458713+00:00,warning,forbidden_column:retrieved_text
experiments/bm25_sentence_retrieval_v1/run_config.json,experiment,true,1268,2026-07-07T09:40:04.508185+00:00,exists,
experiments/bm25_sentence_retrieval_v1/schema_validation_report.json,experiment,true,2454,2026-07-07T09:40:04.508185+00:00,exists,
experiments/bm25_sentence_retrieval_v1_toy/oracle_recall_summary.json,experiment_output,true,389,2026-07-06T18:27:14.505085+00:00,exists,
experiments/bm25_sentence_retrieval_v1_toy/retrieval_config.json,experiment_output,true,314,2026-07-06T18:27:14.505085+00:00,exists,
experiments/bm25_sentence_retrieval_v1_toy/retrieval_examples_redacted.csv,experiment_output,true,1937,2026-07-06T18:27:14.505085+00:00,exists,
experiments/bm25_sentence_retrieval_v1_toy/retrieval_results_sentence_bm25.csv,experiment_output,true,16525,2026-07-06T18:27:14.502974+00:00,warning,forbidden_column:retrieved_text
experiments/bm25_sentence_retrieval_v1_toy/retrieval_results_window_bm25.csv,experiment_output,true,26706,2026-07-06T18:27:14.504579+00:00,warning,forbidden_column:retrieved_text
experiments/bm25_sentence_retrieval_v1_toy/run_config.json,experiment_output,true,1231,2026-07-06T18:27:14.511845+00:00,exists,
experiments/bm25_sentence_retrieval_v1_toy/schema_validation_report.json,experiment_output,true,2462,2026-07-06T18:27:14.511845+00:00,exists,
experiments/canonical_selector_robustness_v1/nli_top5_cache.npz,experiment_output,true,208556,2026-07-05T09:51:23.010654+00:00,exists,
experiments/canonical_selector_robustness_v1/nli_top5_cache_meta.csv,experiment_output,true,2400175,2026-07-05T09:51:23.045754+00:00,warning,forbidden_column:claim_text
experiments/canonical_selector_robustness_v1/run.log,experiment_output,true,11260,2026-07-05T09:54:49.986563+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_error_overlap.csv,experiment_output,true,630,2026-07-05T09:54:49.972068+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_robustness_gate.json,experiment_output,true,2121,2026-07-05T09:54:49.978347+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_robustness_report.md,experiment_output,true,3356,2026-07-05T09:54:49.985036+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_stability_by_label.csv,experiment_output,true,4695,2026-07-05T09:54:49.970440+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_variant_definitions.csv,experiment_output,true,1572,2026-07-05T09:40:46.520127+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_variant_evidence.csv,experiment_output,true,1556677,2026-07-05T09:51:23.543073+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_variant_metrics.csv,experiment_output,true,3322,2026-07-05T09:54:49.967865+00:00,exists,
experiments/canonical_selector_robustness_v1/selector_variant_predictions.csv,experiment_output,true,157260,2026-07-05T09:54:49.796086+00:00,exists,
experiments/canonicalized_review_queue_v1/canonicalized_r4_review_scores.csv,experiment_output,true,153795,2026-07-06T16:45:24.300976+00:00,warning,forbidden_column:selected_evidence
experiments/canonicalized_review_queue_v1/canonicalized_review_queue_gate.json,experiment_output,true,2076,2026-07-05T10:20:15.552997+00:00,exists,
experiments/canonicalized_review_queue_v1/canonicalized_review_queue_report.md,experiment_output,true,3625,2026-07-05T10:20:15.554506+00:00,exists,
experiments/canonicalized_review_queue_v1/low_prevalence_canonicalized_results.csv,experiment_output,true,2471,2026-07-05T10:20:15.256641+00:00,exists,
experiments/canonicalized_review_queue_v1/low_prevalence_canonicalized_summary.json,experiment_output,true,3162,2026-07-05T10:20:15.258187+00:00,exists,
experiments/canonicalized_review_queue_v1/review_queue_error_analysis.csv,experiment_output,true,79628,2026-07-05T10:20:15.542868+00:00,exists,
experiments/canonicalized_review_queue_v1/review_queue_metrics.csv,experiment_output,true,792,2026-07-05T10:20:14.740763+00:00,exists,
experiments/canonicalized_review_queue_v1/review_queue_top100.csv,experiment_output,true,44537,2026-07-05T10:20:14.737613+00:00,warning,forbidden_column:claim_text
experiments/canonicalized_review_queue_v1/run.log,experiment_output,true,6376,2026-07-05T10:20:15.555519+00:00,exists,
experiments/canonicalized_risk_ranking_v1/low_prevalence_ranking_results.csv,experiment_output,true,1076,2026-07-05T11:27:36.000131+00:00,exists,
experiments/canonicalized_risk_ranking_v1/review_queue_top100_best.csv,experiment_output,true,37873,2026-07-05T11:27:35.596158+00:00,warning,forbidden_column:selected_evidence
experiments/canonicalized_risk_ranking_v1/risk_ranking_error_analysis.csv,experiment_output,true,71690,2026-07-05T11:27:36.023595+00:00,exists,
experiments/canonicalized_risk_ranking_v1/risk_ranking_features.csv,experiment_output,true,101961,2026-07-05T11:27:35.567548+00:00,exists,
experiments/canonicalized_risk_ranking_v1/risk_ranking_formula_variants.csv,experiment_output,true,948,2026-07-05T11:27:35.569076+00:00,exists,
experiments/canonicalized_risk_ranking_v1/risk_ranking_gate.json,experiment_output,true,4399,2026-07-05T11:27:36.027630+00:00,exists,
experiments/canonicalized_risk_ranking_v1/risk_ranking_report.md,experiment_output,true,4637,2026-07-05T11:27:36.029143+00:00,exists,
experiments/canonicalized_risk_ranking_v1/risk_ranking_results_by_variant.csv,experiment_output,true,1370,2026-07-05T11:27:35.592079+00:00,exists,
experiments/canonicalizer_ablation_v1/canonicalizer_config.json,experiment_output,true,227,2026-07-06T16:41:26.516365+00:00,exists,
experiments/canonicalizer_ablation_v1/leakage_guard_report.json,experiment_output,true,635,2026-07-06T16:41:26.516365+00:00,exists,
experiments/canonicalizer_ablation_v1/run_config.json,experiment_output,true,1267,2026-07-06T16:41:26.543708+00:00,exists,
experiments/canonicalizer_ablation_v1/schema_validation_report.json,experiment_output,true,1604,2026-07-06T16:41:26.542706+00:00,exists,
experiments/canonicalizer_ablation_v1/selector_examples_redacted.csv,experiment_output,true,655554,2026-07-06T16:41:26.515350+00:00,exists,
experiments/canonicalizer_ablation_v1/selector_metrics_summary.csv,experiment_output,true,758,2026-07-06T16:41:26.497723+00:00,exists,
experiments/canonicalizer_ablation_v1/selector_variant_evidence.csv,experiment_output,true,1611955,2026-07-06T16:41:26.496072+00:00,warning,forbidden_column:selected_evidence
experiments/canonicalizer_ablation_v1_toy/canonicalizer_config.json,experiment_output,true,227,2026-07-06T05:32:44.917629+00:00,exists,
experiments/canonicalizer_ablation_v1_toy/leakage_guard_report.json,experiment_output,true,635,2026-07-06T05:32:44.917629+00:00,exists,
experiments/canonicalizer_ablation_v1_toy/run_config.json,experiment_output,true,1230,2026-07-06T05:32:44.923118+00:00,exists,
experiments/canonicalizer_ablation_v1_toy/schema_validation_report.json,experiment_output,true,1610,2026-07-06T05:32:44.922554+00:00,exists,
experiments/canonicalizer_ablation_v1_toy/selector_examples_redacted.csv,experiment_output,true,8792,2026-07-06T05:32:44.917629+00:00,exists,
experiments/canonicalizer_ablation_v1_toy/selector_metrics_summary.csv,experiment_output,true,735,2026-07-06T05:32:44.917079+00:00,exists,
experiments/canonicalizer_ablation_v1_toy/selector_variant_evidence.csv,experiment_output,true,23496,2026-07-06T05:32:44.917079+00:00,warning,forbidden_column:selected_evidence
experiments/complexity_vs_utility_ablation_v1/complexity_cost_audit.csv,experiment_output,true,1693,2026-07-06T17:58:16.078336+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/complexity_vs_utility_claims_checklist.md,experiment_output,true,2902,2026-07-06T17:58:16.173354+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/complexity_vs_utility_summary.md,experiment_output,true,4995,2026-07-06T17:58:16.172833+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/leakage_guard_report.json,experiment_output,true,1070,2026-07-06T17:58:16.173354+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/method_comparison_metrics.csv,experiment_output,true,1841,2026-07-06T17:58:16.076797+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/method_pareto_table.csv,experiment_output,true,799,2026-07-06T17:58:16.077818+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/paired_bootstrap_comparison.csv,experiment_output,true,1293,2026-07-06T17:58:16.172315+00:00,exists,
experiments/complexity_vs_utility_ablation_v1/run_config.json,experiment_output,true,1253,2026-07-06T17:58:16.174360+00:00,exists,
experiments/confidentiality_redteam_scan_v1/private_intermediate_allowlist.json,experiment_output,true,1132,2026-07-06T18:11:21.248747+00:00,exists,
experiments/confidentiality_redteam_scan_v1/redteam_findings.csv,experiment,true,17252,2026-07-07T09:58:18.029275+00:00,exists,
experiments/confidentiality_redteam_scan_v1/redteam_summary.json,experiment,true,506,2026-07-07T10:01:19.311896+00:00,exists,
experiments/confidentiality_redteam_scan_v1/redteam_summary.md,experiment,true,19393,2026-07-07T10:01:19.312907+00:00,exists,
experiments/confidentiality_redteam_scan_v1/run_config.json,experiment,true,1296,2026-07-07T10:01:19.313942+00:00,exists,
experiments/confidentiality_redteam_scan_v1_toy/redteam_findings.csv,experiment_output,true,16033,2026-07-06T05:32:47.003880+00:00,exists,
experiments/confidentiality_redteam_scan_v1_toy/redteam_summary.json,experiment_output,true,708,2026-07-06T05:32:47.004393+00:00,exists,
experiments/confidentiality_redteam_scan_v1_toy/redteam_summary.md,experiment_output,true,18269,2026-07-06T05:32:47.005408+00:00,exists,
experiments/confidentiality_redteam_scan_v1_toy/run_config.json,experiment_output,true,1260,2026-07-06T05:32:47.005408+00:00,exists,
experiments/error_taxonomy_v1/error_cases_redacted.csv,experiment_output,true,235242,2026-07-06T07:18:42.592186+00:00,exists,
experiments/error_taxonomy_v1/error_taxonomy_summary.csv,experiment_output,true,1458,2026-07-06T07:18:42.598754+00:00,exists,
experiments/error_taxonomy_v1/error_taxonomy_summary.json,experiment_output,true,1260,2026-07-06T07:18:42.601799+00:00,exists,
experiments/error_taxonomy_v1/error_taxonomy_summary.md,experiment_output,true,3121,2026-07-06T07:18:42.601291+00:00,exists,
experiments/error_taxonomy_v1/private/error_cases_private.csv,experiment_output,true,502180,2026-07-06T07:18:42.586608+00:00,warning,forbidden_column:selected_evidence
experiments/error_taxonomy_v1/run_config.json,experiment_output,true,2156,2026-07-06T07:18:42.601799+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/download_instructions.md,experiment_output,true,2650,2026-07-03T19:18:51.574371+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/evidence_sensitivity_results.csv,experiment_output,true,1503,2026-07-03T19:18:51.555040+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/external_dataset_schema_audit.csv,experiment_output,true,794,2026-07-03T18:42:23.276265+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/external_gold_readiness_gate.json,experiment_output,true,2153,2026-07-03T19:18:51.573361+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/external_gold_results_summary.json,experiment_output,true,11182,2026-07-03T19:18:51.571301+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/external_gold_subset_provenance.csv,experiment_output,true,1240591,2026-07-03T19:18:51.554018+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/public_data_download_log.csv,experiment_output,true,1622,2026-07-03T18:42:23.275249+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/run.log,experiment_output,true,5011,2026-07-03T19:18:51.575415+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/scifact_external_pairs.csv,experiment_output,true,693575,2026-07-03T18:42:23.327675+00:00,warning,forbidden_column:claim_text
experiments/external_gold_scifact_vitaminc_v1/scifact_results_by_seed.csv,experiment_output,true,4103,2026-07-03T19:10:30.363208+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/scifact_sampled_eval.csv,experiment_output,true,791783,2026-07-03T19:10:30.334795+00:00,warning,forbidden_column:claim_text
experiments/external_gold_scifact_vitaminc_v1/vitaminc_external_pairs.csv,experiment_output,true,61431245,2026-07-03T18:42:24.790891+00:00,warning,forbidden_column:claim_text
experiments/external_gold_scifact_vitaminc_v1/vitaminc_results_by_seed.csv,experiment_output,true,3748,2026-07-03T19:10:30.365276+00:00,exists,
experiments/external_gold_scifact_vitaminc_v1/vitaminc_sampled_eval.csv,experiment_output,true,819816,2026-07-03T19:10:30.351114+00:00,warning,forbidden_column:claim_text
experiments/format_shift_ablation_v1/format_shift_config.json,experiment_output,true,101,2026-07-06T16:42:57.175065+00:00,exists,
experiments/format_shift_ablation_v1/format_shift_inputs.csv,experiment_output,true,2153230,2026-07-06T16:42:57.160060+00:00,exists,
experiments/format_shift_ablation_v1/format_shift_inputs_redacted.csv,experiment_output,true,611282,2026-07-06T16:42:57.174544+00:00,exists,
experiments/format_shift_ablation_v1/format_shift_summary.json,experiment_output,true,619,2026-07-06T17:02:19.707978+00:00,exists,
experiments/format_shift_ablation_v1/leakage_guard_report.json,experiment_output,true,488,2026-07-06T17:02:37.987253+00:00,exists,
experiments/format_shift_ablation_v1/r4_eval_blocked.json,experiment_output,true,930,2026-07-06T17:02:19.707463+00:00,exists,
experiments/format_shift_ablation_v1/run_config.json,experiment_output,true,1266,2026-07-06T16:42:57.211297+00:00,exists,
experiments/format_shift_ablation_v1/schema_validation_report.json,experiment_output,true,1432,2026-07-06T16:42:57.210790+00:00,exists,
experiments/format_shift_ablation_v1_toy/format_shift_config.json,experiment_output,true,101,2026-07-06T02:28:18.366356+00:00,exists,
experiments/format_shift_ablation_v1_toy/format_shift_inputs.csv,experiment_output,true,26796,2026-07-06T02:28:18.363817+00:00,exists,
experiments/format_shift_ablation_v1_toy/format_shift_inputs_redacted.csv,experiment_output,true,8018,2026-07-06T02:28:18.365343+00:00,exists,
experiments/format_shift_ablation_v1_toy/run_config.json,experiment_output,true,1229,2026-07-06T02:28:18.372951+00:00,exists,
experiments/format_shift_ablation_v1_toy/schema_validation_report.json,experiment_output,true,1438,2026-07-06T02:28:18.371940+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_cost_report.md,experiment_output,true,743,2026-07-04T02:04:21.378984+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_probe_input_100.csv,experiment_output,true,63576,2026-07-04T01:25:27.101399+00:00,warning,forbidden_column:claim_text
experiments/gpt_structured_judge_probe_v1/gpt_standard_metrics_100.json,experiment_output,true,446,2026-07-04T02:04:21.250513+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_standard_parsed_100.csv,experiment_output,true,32705,2026-07-04T02:04:21.218495+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_standard_raw_outputs_100.jsonl,experiment_output,true,67833,2026-07-04T01:41:11.338806+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_strong_error_cases.csv,experiment_output,true,7144,2026-07-04T02:04:21.378984+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_structured_metrics_100.json,experiment_output,true,459,2026-07-04T02:04:21.250513+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_structured_parsed_100.csv,experiment_output,true,36248,2026-07-04T02:04:21.223647+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_structured_probe_gate.json,experiment_output,true,1557,2026-07-04T02:04:21.379998+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_structured_raw_outputs_100.jsonl,experiment_output,true,86146,2026-07-04T02:04:20.701425+00:00,exists,
experiments/gpt_structured_judge_probe_v1/gpt_vs_r4_deepseek_comparison.csv,experiment_output,true,13613,2026-07-04T02:04:21.337238+00:00,exists,
experiments/gpt_structured_judge_probe_v1/missing_api_key_report.md,experiment_output,true,891,2026-07-04T01:24:47.934569+00:00,exists,
experiments/gpt_structured_judge_probe_v1/run.log,experiment_output,true,14752,2026-07-04T02:04:21.382522+00:00,exists,
experiments/leakage_audit_v1/audit_summary.md,experiment,true,2596,2026-07-07T10:01:19.314454+00:00,exists,
experiments/leakage_audit_v1/claim_only_baseline.json,experiment,true,747,2026-07-07T05:33:21.719793+00:00,exists,
experiments/leakage_audit_v1/cue_words_by_label.csv,experiment,true,342,2026-07-07T05:33:21.722925+00:00,exists,
experiments/leakage_audit_v1/empty_evidence_baseline.json,experiment,true,354,2026-07-07T05:33:21.720905+00:00,exists,
experiments/leakage_audit_v1/generation_policy_distribution.json,experiment,true,6384,2026-07-07T05:33:21.723433+00:00,exists,
experiments/leakage_audit_v1/group_split_integrity.json,experiment,true,103,2026-07-07T05:33:21.723433+00:00,exists,
experiments/leakage_audit_v1/lexical_overlap_by_label.csv,experiment,true,245,2026-07-07T05:33:21.722925+00:00,exists,
experiments/leakage_audit_v1/metadata_only_retrieval_baseline.json,experiment,true,142,2026-07-07T05:33:21.721922+00:00,exists,
experiments/leakage_audit_v1/no_label_in_queue_sorting_check.json,experiment,true,1227,2026-07-07T05:33:21.724435+00:00,exists,
experiments/leakage_audit_v1/no_oracle_in_selector_check.json,experiment,true,462,2026-07-07T05:33:21.723433+00:00,exists,
experiments/leakage_audit_v1/run_config.json,experiment,true,1277,2026-07-07T10:01:19.315481+00:00,exists,
experiments/leakage_audit_v1/schema_validation_report.json,experiment,true,5906,2026-07-07T10:01:19.315989+00:00,exists,
experiments/leakage_audit_v1/shuffled_evidence_baseline.json,experiment,true,517,2026-07-07T05:33:21.721411+00:00,exists,
experiments/leakage_audit_v1/title_only_retrieval_baseline.json,experiment,true,136,2026-07-07T05:33:21.721922+00:00,exists,
experiments/leakage_audit_v1_toy/audit_summary.md,experiment_output,true,858,2026-07-06T05:32:46.125394+00:00,exists,
experiments/leakage_audit_v1_toy/claim_only_baseline.json,experiment_output,true,172,2026-07-06T05:32:46.122860+00:00,exists,
