label,selector,precision,recall,f1,n
supported,bm25_top1_raw,0.32160804020100503,0.5871559633027523,0.41558441558441556,109
mild_scope_overclaim,bm25_top1_raw,0.29411764705882354,0.22935779816513763,0.2577319587628866,109
strong_action_overclaim,bm25_top1_raw,0.37142857142857144,0.11926605504587157,0.18055555555555558,109
contradiction_candidate,bm25_top1_raw,0.5470085470085471,0.5871559633027523,0.5663716814159292,109
supported,oracle_span,0.4827586206896552,0.6422018348623854,0.5511811023622047,109
mild_scope_overclaim,oracle_span,0.2647058823529412,0.08256880733944955,0.1258741258741259,109
strong_action_overclaim,oracle_span,0.37857142857142856,0.48623853211009177,0.42570281124497994,109
contradiction_candidate,oracle_span,0.7008547008547008,0.7522935779816514,0.7256637168141592,109
supported,best_sentence_top3_overlap,0.4375,0.25688073394495414,0.3236994219653179,109
mild_scope_overclaim,best_sentence_top3_overlap,0.4166666666666667,0.09174311926605505,0.15037593984962408,109
strong_action_overclaim,best_sentence_top3_overlap,0.32158590308370044,0.6697247706422018,0.43452380952380953,109
contradiction_candidate,best_sentence_top3_overlap,0.5950413223140496,0.6605504587155964,0.6260869565217391,109
supported,best_sentence_top5_overlap,0.421875,0.24770642201834864,0.31213872832369943,109
mild_scope_overclaim,best_sentence_top5_overlap,0.391304347826087,0.08256880733944955,0.13636363636363635,109
strong_action_overclaim,best_sentence_top5_overlap,0.33047210300429186,0.7064220183486238,0.45029239766081874,109
contradiction_candidate,best_sentence_top5_overlap,0.6206896551724138,0.6605504587155964,0.6400000000000001,109
supported,best_sentence_top10_overlap,0.417910447761194,0.25688073394495414,0.3181818181818182,109
mild_scope_overclaim,best_sentence_top10_overlap,0.3333333333333333,0.07339449541284404,0.12030075187969926,109
strong_action_overclaim,best_sentence_top10_overlap,0.32340425531914896,0.6972477064220184,0.4418604651162791,109
contradiction_candidate,best_sentence_top10_overlap,0.6090909090909091,0.6146788990825688,0.6118721461187215,109
supported,best_sentence_top5_bm25weighted,0.4107142857142857,0.21100917431192662,0.2787878787878788,109
mild_scope_overclaim,best_sentence_top5_bm25weighted,0.2978723404255319,0.12844036697247707,0.1794871794871795,109
strong_action_overclaim,best_sentence_top5_bm25weighted,0.3119266055045872,0.6238532110091743,0.41590214067278286,109
contradiction_candidate,best_sentence_top5_bm25weighted,0.5391304347826087,0.5688073394495413,0.5535714285714285,109
supported,best_sentence_top5_nli_entailment,0.4225352112676056,0.27522935779816515,0.33333333333333337,109
mild_scope_overclaim,best_sentence_top5_nli_entailment,0.22784810126582278,0.1651376146788991,0.19148936170212766,109
strong_action_overclaim,best_sentence_top5_nli_entailment,0.27710843373493976,0.42201834862385323,0.33454545454545453,109
contradiction_candidate,best_sentence_top5_nli_entailment,0.425,0.46788990825688076,0.4454148471615721,109
supported,best_sentence_top5_nli_low_entropy,0.5,0.11926605504587157,0.19259259259259262,109
mild_scope_overclaim,best_sentence_top5_nli_low_entropy,0.5,0.01834862385321101,0.035398230088495575,109
strong_action_overclaim,best_sentence_top5_nli_low_entropy,0.28160919540229884,0.8990825688073395,0.42888402625820565,109
contradiction_candidate,best_sentence_top5_nli_low_entropy,0.7068965517241379,0.3761467889908257,0.4910179640718563,109
supported,best_sentence_top5_margin,0.5,0.1743119266055046,0.2585034013605442,109
mild_scope_overclaim,best_sentence_top5_margin,0.35,0.06422018348623854,0.10852713178294575,109
strong_action_overclaim,best_sentence_top5_margin,0.34146341463414637,0.12844036697247707,0.18666666666666668,109
contradiction_candidate,best_sentence_top5_margin,0.314540059347181,0.9724770642201835,0.4753363228699552,109
supported,two_sentence_window_top5,0.37404580152671757,0.44954128440366975,0.4083333333333333,109
mild_scope_overclaim,two_sentence_window_top5,0.19230769230769232,0.09174311926605505,0.12422360248447206,109
strong_action_overclaim,two_sentence_window_top5,0.3412698412698413,0.3944954128440367,0.36595744680851067,109
contradiction_candidate,two_sentence_window_top5,0.5669291338582677,0.6605504587155964,0.6101694915254238,109
supported,length_limited_top5,0.40625,0.23853211009174313,0.30057803468208094,109
mild_scope_overclaim,length_limited_top5,0.42105263157894735,0.07339449541284404,0.125,109
strong_action_overclaim,length_limited_top5,0.326271186440678,0.7064220183486238,0.4463768115942029,109
contradiction_candidate,length_limited_top5,0.5982905982905983,0.6422018348623854,0.6194690265486725,109
