selector_A,selector_B,both_correct,selector_A_only_correct,selector_B_only_correct,both_wrong,agreement_rate
best_sentence_top5_overlap,best_sentence_top5_nli_entailment,99,86,46,205,0.6972477064220184
best_sentence_top5_overlap,best_sentence_top5_margin,101,84,45,206,0.7041284403669725
best_sentence_top5_overlap,length_limited_top5,177,8,4,247,0.9724770642201835
best_sentence_top5_nli_entailment,best_sentence_top5_margin,83,62,63,228,0.713302752293578
best_sentence_top5_nli_entailment,length_limited_top5,95,50,86,205,0.6880733944954128
best_sentence_top5_margin,length_limited_top5,97,49,84,206,0.694954128440367
