method,seed,flat4_macro_f1,flat4_strong_f1,flat4_supported_f1,flat4_mild_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1,supported_to_strong_rate,mild_to_strong_rate
B_cost_sensitive_cw4.0,88,0.42708333333333326,0.375,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.375,0.375,0.375,0.536231884057971,0.7391304347826086,0.782312925170068,0.6666666666666666,0.1875,0.25
C_ordinal_severity,88,0.36569007263922515,0.5084745762711864,0.0,0.24,0.7142857142857143,0.5084745762711864,0.3488372093023256,0.9375,0.42857142857142855,0.8571428571428571,0.8171428571428572,0.7142857142857143,0.625,0.75
D1_ovr_contra_priority,88,0.3349411264009079,0.37735849056603776,0.14285714285714285,0.10526315789473684,0.7142857142857143,0.37735849056603776,0.2702702702702703,0.625,0.4514285714285714,0.76,0.8171428571428572,0.7142857142857143,0.75,0.6875
D2_ovr_strong_priority,88,0.3067853199432147,0.36363636363636365,0.14285714285714285,0.10526315789473684,0.6153846153846154,0.36363636363636365,0.2564102564102564,0.625,0.4514285714285714,0.76,0.7586726998491704,0.6153846153846154,0.75,0.6875
D3_ovr_max_prob,88,0.44864993098688755,0.2608695652173913,0.4444444444444444,0.375,0.7142857142857143,0.2608695652173913,0.42857142857142855,0.1875,0.571619812583668,0.6987951807228916,0.8171428571428572,0.7142857142857143,0.0625,0.1875
E_error_corrector_r4,88,0.48759415789776317,0.48484848484848486,0.4117647058823529,0.3870967741935484,0.6666666666666666,0.48484848484848486,0.47058823529411764,0.5,0.5994993742177722,0.7872340425531915,0.782312925170068,0.6666666666666666,0.125,0.25
F_recall_balance_router,88,0.43710839598997486,0.42105263157894735,0.375,0.2857142857142857,0.6666666666666666,0.42105263157894735,0.36363636363636365,0.5,0.5833333333333333,0.7916666666666666,0.782312925170068,0.6666666666666666,0.25,0.4375
R4_conservative_strong,99,0.40349487418452934,0.32432432432432434,0.6,0.0,0.6896551724137931,0.32432432432432434,0.2857142857142857,0.375,0.7090909090909091,0.8181818181818182,0.7993730407523512,0.6896551724137931,0.1875,0.5
A1_temp_scaled_router,99,0.40349487418452934,0.32432432432432434,0.6,0.0,0.6896551724137931,0.32432432432432434,0.2857142857142857,0.375,0.7090909090909091,0.8181818181818182,0.7993730407523512,0.6896551724137931,0.1875,0.5
A2_isotonic_router,99,0.4139933517561777,0.38095238095238093,0.5853658536585366,0.0,0.6896551724137931,0.38095238095238093,0.3076923076923077,0.5,0.6949817774039809,0.8045977011494253,0.7993730407523512,0.6896551724137931,0.25,0.5625
A3_platt_router,99,0.3838721264367816,0.3125,0.5333333333333333,0.0,0.6896551724137931,0.3125,0.3125,0.3125,0.640160642570281,0.7469879518072289,0.7993730407523512,0.6896551724137931,0.1875,0.3125
B_cost_sensitive_cw1.5,99,0.4398963105859658,0.45454545454545453,0.6153846153846154,0.0,0.6896551724137931,0.45454545454545453,0.35714285714285715,0.625,0.7234226447709594,0.8314606741573034,0.7993730407523512,0.6896551724137931,0.25,0.5625
B_cost_sensitive_cw2.0,99,0.414519056261343,0.3684210526315789,0.6,0.0,0.6896551724137931,0.3684210526315789,0.3181818181818182,0.4375,0.7090909090909091,0.8181818181818182,0.7993730407523512,0.6896551724137931,0.1875,0.5
B_cost_sensitive_cw3.0,99,0.40349487418452934,0.32432432432432434,0.6,0.0,0.6896551724137931,0.32432432432432434,0.2857142857142857,0.375,0.7090909090909091,0.8181818181818182,0.7993730407523512,0.6896551724137931,0.1875,0.5
B_cost_sensitive_cw4.0,99,0.42975809392601,0.43478260869565216,0.5945945945945946,0.0,0.6896551724137931,0.43478260869565216,0.3333333333333333,0.625,0.7148797148797149,0.8351648351648352,0.7993730407523512,0.6896551724137931,0.3125,0.625
C_ordinal_severity,99,0.35392877680111723,0.3404255319148936,0.0,0.43243243243243246,0.6428571428571429,0.3404255319148936,0.25806451612903225,0.5,0.42857142857142855,0.8571428571428571,0.7714285714285715,0.6428571428571429,0.5625,0.4375
D1_ovr_contra_priority,99,0.3938423645320197,0.2857142857142857,0.25,0.35,0.6896551724137931,0.2857142857142857,0.2631578947368421,0.3125,0.5384615384615384,0.8269230769230769,0.7993730407523512,0.6896551724137931,0.25,0.375
D2_ovr_strong_priority,99,0.3938423645320197,0.2857142857142857,0.25,0.35,0.6896551724137931,0.2857142857142857,0.2631578947368421,0.3125,0.5384615384615384,0.8269230769230769,0.7993730407523512,0.6896551724137931,0.25,0.375
D3_ovr_max_prob,99,0.3959725563574802,0.20689655172413793,0.46511627906976744,0.2222222222222222,0.6896551724137931,0.20689655172413793,0.23076923076923078,0.1875,0.5972640218878249,0.7294117647058823,0.7993730407523512,0.6896551724137931,0.25,0.25
E_error_corrector_r4,99,0.3332471264367816,0.08,0.48,0.08333333333333333,0.6896551724137931,0.08,0.1111111111111111,0.0625,0.5733333333333333,0.6666666666666666,0.7993730407523512,0.6896551724137931,0.1875,0.125
F_recall_balance_router,99,0.40208858985141577,0.3333333333333333,0.5853658536585366,0.0,0.6896551724137931,0.3333333333333333,0.3,0.375,0.6949817774039809,0.8045977011494253,0.7993730407523512,0.6896551724137931,0.1875,0.5
R4_conservative_strong,111,0.4666427203065134,0.41379310344827586,0.5777777777777777,0.0,0.875,0.41379310344827586,0.46153846153846156,0.375,0.6744310575635877,0.7710843373493976,0.9166666666666667,0.875,0.125,0.3125
A1_temp_scaled_router,111,0.4666427203065134,0.41379310344827586,0.5777777777777777,0.0,0.875,0.41379310344827586,0.46153846153846156,0.375,0.6744310575635877,0.7710843373493976,0.9166666666666667,0.875,0.125,0.3125
A2_isotonic_router,111,0.4666427203065134,0.41379310344827586,0.5777777777777777,0.0,0.875,0.41379310344827586,0.46153846153846156,0.375,0.6744310575635877,0.7710843373493976,0.9166666666666667,0.875,0.125,0.3125
A3_platt_router,111,0.402644523326572,0.11764705882352941,0.48,0.13793103448275862,0.875,0.11764705882352941,1.0,0.0625,0.5733333333333333,0.6666666666666666,0.9166666666666667,0.875,0.0,0.0
B_cost_sensitive_cw1.5,111,0.4653761808367071,0.47368421052631576,0.5128205128205128,0.0,0.875,0.47368421052631576,0.4090909090909091,0.5625,0.6496686833765486,0.7865168539325843,0.9166666666666667,0.875,0.3125,0.5
B_cost_sensitive_cw2.0,111,0.46647727272727274,0.4,0.5909090909090909,0.0,0.875,0.4,0.42857142857142855,0.375,0.6883116883116883,0.7857142857142857,0.9166666666666667,0.875,0.125,0.375
B_cost_sensitive_cw3.0,111,0.4666427203065134,0.41379310344827586,0.5777777777777777,0.0,0.875,0.41379310344827586,0.46153846153846156,0.375,0.6744310575635877,0.7710843373493976,0.9166666666666667,0.875,0.125,0.3125
B_cost_sensitive_cw4.0,111,0.4914772727272727,0.5,0.5909090909090909,0.0,0.875,0.5,0.5,0.5,0.6883116883116883,0.7857142857142857,0.9166666666666667,0.875,0.125,0.375
C_ordinal_severity,111,0.41900157454883125,0.425531914893617,0.0,0.4117647058823529,0.8387096774193549,0.425531914893617,0.3225806451612903,0.625,0.42857142857142855,0.8571428571428571,0.8935816428333887,0.8387096774193549,0.625,0.5
D1_ovr_contra_priority,111,0.4357953707798909,0.09523809523809523,0.2857142857142857,0.42105263157894735,0.9411764705882353,0.09523809523809523,0.2,0.0625,0.5084485407066053,0.7311827956989247,0.9599499374217773,0.9411764705882353,0.1875,0.0625
D2_ovr_strong_priority,111,0.4078056426332288,0.44,0.0,0.36363636363636365,0.8275862068965517,0.44,0.3235294117647059,0.6875,0.42857142857142855,0.8571428571428571,0.8885405781957506,0.8275862068965517,0.625,0.5625
D3_ovr_max_prob,111,0.426638837353123,0.18181818181818182,0.4489795918367347,0.16666666666666666,0.9090909090909091,0.18181818181818182,0.3333333333333333,0.125,0.5536037199690003,0.6582278481012658,0.938755980861244,0.9090909090909091,0.125,0.0625
E_error_corrector_r4,111,0.4187145390070922,0.16666666666666666,0.5531914893617021,0.08,0.875,0.16666666666666666,0.25,0.125,0.6469661150512214,0.7407407407407407,0.9166666666666667,0.875,0.125,0.25
F_recall_balance_router,111,0.4207310508182601,0.2962962962962963,0.5116279069767442,0.0,0.875,0.2962962962962963,0.36363636363636365,0.25,0.6322845417236662,0.7529411764705882,0.9166666666666667,0.875,0.125,0.3125
