candidate_id,domain,silver_label,sim_correct_evidence,sim_empty_evidence,sim_shuffled_evidence,sim_same_domain_wrong_evidence,sim_cross_domain_wrong_evidence
SBV2-ALL92-G020-C01,autonomous_driving,supported,0.7060777744337091,0.0,0.7060777744337091,0.0,0.02109258788122763
SBV2-ALL92-G020-C02,autonomous_driving,mild_scope_overclaim,0.7060777744337091,0.0,0.7060777744337091,0.09867961797986957,0.0
SBV2-ALL92-G020-C03,autonomous_driving,strong_action_overclaim,0.5716503462287766,0.0,0.5716503462287766,0.0,0.0
SBV2-ALL92-G020-C04,autonomous_driving,contradiction_candidate,0.5050480533750724,0.0,0.5050480533750724,0.022009832245552332,0.0
SBV2-ALL92-G021-C01,autonomous_driving,supported,0.4022226955908295,0.0,0.4022226955908295,0.0,0.028212976524438105
SBV2-ALL92-G021-C02,autonomous_driving,mild_scope_overclaim,0.4022226955908295,0.0,0.4022226955908295,0.12304829965489734,0.0
SBV2-ALL92-G021-C03,autonomous_driving,strong_action_overclaim,0.38589010917667244,0.0,0.38589010917667244,0.0,0.0
SBV2-ALL92-G021-C04,autonomous_driving,contradiction_candidate,0.29533726609810634,0.0,0.29533726609810634,0.0,0.0
SBV2-ALL92-G025-C01,autonomous_driving,supported,0.5250055925680134,0.0,0.5250055925680134,0.023338112796102938,0.0
SBV2-ALL92-G025-C02,autonomous_driving,mild_scope_overclaim,0.5045095111128997,0.0,0.5045095111128997,0.022661746451046023,0.0
SBV2-ALL92-G025-C03,autonomous_driving,strong_action_overclaim,0.4549626577098084,0.0,0.4549626577098084,0.0,0.0
SBV2-ALL92-G025-C04,autonomous_driving,contradiction_candidate,0.20234015802452657,0.0,0.20234015802452657,0.0,0.023070007179819354
SBV2-ALL92-G027-C01,autonomous_driving,supported,0.5048368097797727,0.0,0.5048368097797727,0.0,0.0
SBV2-ALL92-G027-C02,autonomous_driving,mild_scope_overclaim,0.4646241881946847,0.0,0.4646241881946847,0.03469236704547868,0.025987090669821095
SBV2-ALL92-G027-C03,autonomous_driving,strong_action_overclaim,0.43270692356539375,0.0,0.43270692356539375,0.0,0.0
SBV2-ALL92-G027-C04,autonomous_driving,contradiction_candidate,0.41866019242678976,0.0,0.41866019242678976,0.0,0.0
SBV2-ALL92-G028-C01,autonomous_driving,supported,0.5429318546782438,0.0,0.5429318546782438,0.028125757853538096,0.0
SBV2-ALL92-G028-C02,autonomous_driving,mild_scope_overclaim,0.48572502211759827,0.0,0.48572502211759827,0.0,0.0
SBV2-ALL92-G028-C03,autonomous_driving,strong_action_overclaim,0.48572502211759827,0.0,0.48572502211759827,0.0,0.0
SBV2-ALL92-G028-C04,autonomous_driving,contradiction_candidate,0.18556637492840475,0.0,0.18556637492840475,0.0,0.0
SBV2-ALL92-G030-C01,autonomous_driving,supported,0.513344656668054,0.0,0.513344656668054,0.0,0.06530314770397087
SBV2-ALL92-G030-C02,autonomous_driving,mild_scope_overclaim,0.43957499395887456,0.0,0.43957499395887456,0.0,0.0
SBV2-ALL92-G030-C03,autonomous_driving,strong_action_overclaim,0.47862993895527306,0.0,0.47862993895527306,0.030897492327937287,0.024272197766485825
SBV2-ALL92-G030-C04,autonomous_driving,contradiction_candidate,0.32388167177803245,0.0,0.32388167177803245,0.0,0.03375429707312578
SBV2-ALL92-G031-C01,autonomous_driving,supported,0.7115589572768248,0.0,0.7115589572768248,0.0,0.05503243674031636
SBV2-ALL92-G031-C02,autonomous_driving,mild_scope_overclaim,0.6712103184774502,0.0,0.6712103184774502,0.07225611500700141,0.0
SBV2-ALL92-G031-C03,autonomous_driving,strong_action_overclaim,0.5146133498503499,0.0,0.5146133498503499,0.0273953308141047,0.03421369084214042
SBV2-ALL92-G031-C04,autonomous_driving,contradiction_candidate,0.7115589572768248,0.0,0.7115589572768248,0.09915759724690269,0.0
SBV2-ALL92-G032-C01,autonomous_driving,supported,0.7650003456470346,0.0,0.7650003456470346,0.029780997838840435,0.0
SBV2-ALL92-G032-C02,autonomous_driving,mild_scope_overclaim,0.7650003456470346,0.0,0.7650003456470346,0.0,0.0
SBV2-ALL92-G032-C03,autonomous_driving,strong_action_overclaim,0.6549838312574768,0.0,0.6549838312574768,0.0,0.02243804818688637
SBV2-ALL92-G032-C04,autonomous_driving,contradiction_candidate,0.6122178797097245,0.0,0.6122178797097245,0.0,0.032922748156637364
SBV2-ALL92-G033-C01,autonomous_driving,supported,0.5909609646165187,0.0,0.5909609646165187,0.03673406111884344,0.0
SBV2-ALL92-G033-C02,autonomous_driving,mild_scope_overclaim,0.5174172622878259,0.0,0.5174172622878259,0.0,0.0
SBV2-ALL92-G033-C03,autonomous_driving,strong_action_overclaim,0.48162797164153603,0.0,0.48162797164153603,0.0,0.07539578040993625
SBV2-ALL92-G033-C04,autonomous_driving,contradiction_candidate,0.41883220855973285,0.0,0.41883220855973285,0.0,0.0
SBV2-ALL92-G034-C01,autonomous_driving,supported,0.581969669221429,0.0,0.581969669221429,0.020884370422363973,0.0
SBV2-ALL92-G034-C02,autonomous_driving,mild_scope_overclaim,0.581969669221429,0.0,0.581969669221429,0.0,0.03009508323501493
SBV2-ALL92-G034-C03,autonomous_driving,strong_action_overclaim,0.5031026124151315,0.0,0.5031026124151315,0.0,0.0
SBV2-ALL92-G034-C04,autonomous_driving,contradiction_candidate,0.4415664500660221,0.0,0.4415664500660221,0.0,0.0
SBV2-ALL92-G035-C01,autonomous_driving,supported,0.36140239782153183,0.0,0.36140239782153183,0.027555165190904632,0.0
SBV2-ALL92-G035-C02,autonomous_driving,mild_scope_overclaim,0.36140239782153183,0.0,0.36140239782153183,0.03625870803765041,0.03924270151307829
SBV2-ALL92-G035-C03,autonomous_driving,strong_action_overclaim,0.36140239782153183,0.0,0.36140239782153183,0.0,0.0
SBV2-ALL92-G035-C04,autonomous_driving,contradiction_candidate,0.2842221139234553,0.0,0.2842221139234553,0.0,0.0
SBV2-ALL92-G036-C01,autonomous_driving,supported,0.2957128337641628,0.0,0.2957128337641628,0.0,0.0
SBV2-ALL92-G036-C02,autonomous_driving,mild_scope_overclaim,0.3025233452092973,0.0,0.3025233452092973,0.0,0.0
SBV2-ALL92-G036-C03,autonomous_driving,strong_action_overclaim,0.36199142799802325,0.0,0.36199142799802325,0.0,0.0
SBV2-ALL92-G036-C04,autonomous_driving,contradiction_candidate,0.2957128337641628,0.0,0.2957128337641628,0.07098413734701414,0.0
SBV2-ALL92-G037-C01,autonomous_driving,supported,0.6904920269308479,0.0,0.6904920269308479,0.0,0.0
SBV2-ALL92-G037-C02,autonomous_driving,mild_scope_overclaim,0.6569729210330907,0.0,0.6569729210330907,0.024895014056333195,0.0
SBV2-ALL92-G037-C03,autonomous_driving,strong_action_overclaim,0.6825216130176629,0.0,0.6825216130176629,0.028125757853538096,0.0
SBV2-ALL92-G037-C04,autonomous_driving,contradiction_candidate,0.46351208027980145,0.0,0.46351208027980145,0.03616721596912814,0.032020892053711836
SBV2-ALL92-G038-C01,autonomous_driving,supported,0.36286434429387876,0.0,0.36286434429387887,0.0,0.0
SBV2-ALL92-G038-C02,autonomous_driving,mild_scope_overclaim,0.31034227825967214,0.0,0.31034227825967214,0.0,0.0
SBV2-ALL92-G038-C03,autonomous_driving,strong_action_overclaim,0.2616497524385358,0.0,0.2616497524385358,0.0,0.0
SBV2-ALL92-G038-C04,autonomous_driving,contradiction_candidate,0.36286434429387876,0.0,0.36286434429387876,0.019578289511699765,0.0
SBV2-ALL92-G040-C01,autonomous_driving,supported,0.20461595327752397,0.0,0.20461595327752397,0.033276471818297466,0.0
SBV2-ALL92-G040-C02,autonomous_driving,mild_scope_overclaim,0.19554251865525688,0.0,0.19554251865525688,0.0,0.03041932046423395
SBV2-ALL92-G040-C03,autonomous_driving,strong_action_overclaim,0.20461595327752397,0.0,0.20461595327752397,0.033276471818297466,0.0
SBV2-ALL92-G040-C04,autonomous_driving,contradiction_candidate,0.20461595327752397,0.0,0.20461595327752397,0.0,0.0
SBV2-ALL92-G042-C01,autonomous_driving,supported,0.2976520455621159,0.0,0.2976520455621159,0.0,0.0
SBV2-ALL92-G042-C02,autonomous_driving,mild_scope_overclaim,0.3007389244585166,0.0,0.3007389244585166,0.0,0.0
SBV2-ALL92-G042-C03,autonomous_driving,strong_action_overclaim,0.28898669167143926,0.0,0.28898669167143926,0.08938749293545316,0.0
SBV2-ALL92-G042-C04,autonomous_driving,contradiction_candidate,0.17586553685537631,0.0,0.17586553685537631,0.02230642683769748,0.0
SBV2-ALL92-G043-C01,autonomous_driving,supported,0.4736627855611698,0.0,0.4736627855611698,0.0,0.024441339221082475
SBV2-ALL92-G043-C02,autonomous_driving,mild_scope_overclaim,0.4736627855611698,0.0,0.4736627855611698,0.0,0.0
SBV2-ALL92-G043-C03,autonomous_driving,strong_action_overclaim,0.45587450400763047,0.0,0.45587450400763047,0.025987090669821095,0.0
SBV2-ALL92-G043-C04,autonomous_driving,contradiction_candidate,0.4736627855611698,0.0,0.4736627855611698,0.0,0.0
SBV2-ALL92-G047-C01,autonomous_driving,supported,0.4176446358773052,0.0,0.4176446358773052,0.0,0.0
SBV2-ALL92-G047-C02,autonomous_driving,mild_scope_overclaim,0.4245607520601463,0.0,0.4245607520601463,0.0,0.0
SBV2-ALL92-G047-C03,autonomous_driving,strong_action_overclaim,0.4245607520601463,0.0,0.4245607520601463,0.023338112796102938,0.0
SBV2-ALL92-G047-C04,autonomous_driving,contradiction_candidate,0.3381735228927155,0.0,0.3381735228927155,0.0,0.0
SBV2-ALL92-G051-C01,autonomous_driving,supported,0.6116961646511994,0.0,0.6116961646511994,0.03566946421355304,0.0
SBV2-ALL92-G051-C02,autonomous_driving,mild_scope_overclaim,0.5020708318468358,0.0,0.5020708318468358,0.0,0.0
SBV2-ALL92-G051-C03,autonomous_driving,strong_action_overclaim,0.5020708318468358,0.0,0.5020708318468358,0.0,0.0
