method,prevalence,tp_mean,fp_mean,fn_mean,tn_mean,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,positive_f1_mean,positive_f1_ci_lo,positive_f1_ci_hi,fp_tp_ratio_mean,fp_tp_ratio_median,fp_tp_ratio_ci_lo,fp_tp_ratio_ci_hi,review_burden_mean,review_burden_ci_lo,review_burden_ci_hi,number_needed_to_review_per_true_strong_mean,number_needed_to_review_per_true_strong_median,number_needed_to_review_per_true_strong_ci_lo,number_needed_to_review_per_true_strong_ci_hi,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,llm_missed_strong_captured_by_r4_mean,strong_cases_missed_by_all_methods_mean,accuracy_median,fn_ci_hi,fn_ci_lo,fn_median,fp_ci_hi,fp_ci_lo,fp_median,positive_f1_median,precision_median,recall_median,review_burden_median,tn_ci_hi,tn_ci_lo,tn_median,tp_ci_hi,tp_ci_lo,tp_median
r4,0.1,36.316,418.125,63.684,481.875,0.36316,0.32,0.29,0.0799032319218983,0.07424593967517401,0.06170212765957447,0.1309641655094268,0.12052730696798493,0.10175438596491229,11.71015693713277,11.513899613899614,12.46875,15.206896551724139,0.454441,0.431,0.47,12.71015693713277,12.513899613899614,13.46875,16.20689655172414,0.5181910000000001,0.533,0.488,32.362,63.684,0.519,71,68,64.0,441,399,418.0,0.1310297968247655,0.07991114135526692,0.36,0.454,459,501,482.0,29,32,36.0
gpt_standard,0.1,3.954,0,96.046,900,0.03954,0.03,0.01,0.985,1.0,1.0,0.07541414935983626,0.058252427184466014,0.019801980198019802,0.0,0.0,0.0,0.0,0.003954,0.003,0.001,1.0,1.0,1.0,1.0,0.903954,0.903,0.901,32.362,63.684,0.904,99,97,96.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.004,900,900,900.0,1,3,4.0
gpt_structured,0.1,3.954,0,96.046,900,0.03954,0.03,0.01,0.985,1.0,1.0,0.07541414935983626,0.058252427184466014,0.019801980198019802,0.0,0.0,0.0,0.0,0.003954,0.003,0.001,1.0,1.0,1.0,1.0,0.903954,0.903,0.901,32.362,63.684,0.904,99,97,96.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.004,900,900,900.0,1,3,4.0
deepseek,0.1,3.954,0,96.046,900,0.03954,0.03,0.01,0.985,1.0,1.0,0.07541414935983626,0.058252427184466014,0.019801980198019802,0.0,0.0,0.0,0.0,0.003954,0.003,0.001,1.0,1.0,1.0,1.0,0.903954,0.903,0.901,32.362,63.684,0.904,99,97,96.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.004,900,900,900.0,1,3,4.0
r4,0.15,54.314,395.303,95.686,454.697,0.3620933333333333,0.38,0.4066666666666667,0.12077293755860939,0.12837837837837837,0.1358574610244989,0.1810943710156693,0.1919191919191919,0.2036727879799666,7.36950191258315,7.294699872286079,6.7894736842105265,6.360655737704918,0.449617,0.444,0.449,8.36950191258315,8.294699872286078,7.7894736842105265,7.360655737704918,0.509011,0.52,0.523,48.259,95.686,0.509,89,93,96.0,388,387,395.5,0.18089594731335862,0.12055891743391745,0.36,0.45,462,463,454.5,61,57,54.0
gpt_standard,0.15,6.055,0,143.945,850,0.04036666666666667,0.03333333333333333,0.04666666666666667,1.0,1.0,1.0,0.07716497525232693,0.06451612903225806,0.089171974522293,0.0,0.0,0.0,0.0,0.006055,0.005,0.007,1.0,1.0,1.0,1.0,0.856055,0.855,0.857,48.259,95.686,0.856,143,145,144.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.006,850,850,850.0,7,5,6.0
gpt_structured,0.15,6.055,0,143.945,850,0.04036666666666667,0.03333333333333333,0.04666666666666667,1.0,1.0,1.0,0.07716497525232693,0.06451612903225806,0.089171974522293,0.0,0.0,0.0,0.0,0.006055,0.005,0.007,1.0,1.0,1.0,1.0,0.856055,0.855,0.857,48.259,95.686,0.856,143,145,144.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.006,850,850,850.0,7,5,6.0
deepseek,0.15,6.055,0,143.945,850,0.04036666666666667,0.03333333333333333,0.04666666666666667,1.0,1.0,1.0,0.07716497525232693,0.06451612903225806,0.089171974522293,0.0,0.0,0.0,0.0,0.006055,0.005,0.007,1.0,1.0,1.0,1.0,0.856055,0.855,0.857,48.259,95.686,0.856,143,145,144.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.006,850,850,850.0,7,5,6.0
r4,0.2,72.091,371.403,127.909,428.597,0.360455,0.35,0.3,0.16255032880982995,0.15659955257270694,0.13761467889908258,0.22399729019447687,0.21638330757341573,0.18867924528301888,5.19784082347958,5.163272861902999,5.385714285714286,6.266666666666667,0.443494,0.447,0.436,6.19784082347958,6.163272861902999,6.385714285714286,7.266666666666667,0.500688,0.493,0.484,63.967,127.909,0.5005,140,130,128.0,376,377,371.0,0.22325581395348834,0.1622514619883041,0.36,0.443,424,423,429.0,60,70,72.0
gpt_standard,0.2,8.124,0,191.876,800,0.04062,0.065,0.03,1.0,1.0,1.0,0.07773235624049615,0.12206572769953053,0.058252427184466014,0.0,0.0,0.0,0.0,0.008124,0.013,0.006,1.0,1.0,1.0,1.0,0.8081240000000001,0.813,0.806,63.967,127.909,0.808,194,187,192.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.008,800,800,800.0,6,13,8.0
gpt_structured,0.2,8.124,0,191.876,800,0.04062,0.065,0.03,1.0,1.0,1.0,0.07773235624049615,0.12206572769953053,0.058252427184466014,0.0,0.0,0.0,0.0,0.008124,0.013,0.006,1.0,1.0,1.0,1.0,0.8081240000000001,0.813,0.806,63.967,127.909,0.808,194,187,192.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.008,800,800,800.0,6,13,8.0
deepseek,0.2,8.124,0,191.876,800,0.04062,0.065,0.03,1.0,1.0,1.0,0.07773235624049615,0.12206572769953053,0.058252427184466014,0.0,0.0,0.0,0.0,0.008124,0.013,0.006,1.0,1.0,1.0,1.0,0.8081240000000001,0.813,0.806,63.967,127.909,0.808,194,187,192.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.008,800,800,800.0,6,13,8.0
r4,0.25,90.147,347.211,159.853,402.789,0.360588,0.364,0.368,0.20609917484682957,0.20871559633027523,0.2164705882352941,0.26221295435239295,0.26530612244897955,0.2725925925925926,3.878665431079286,3.8379594898724685,3.791208791208791,3.619565217391304,0.437358,0.436,0.425,4.878665431079286,4.837959489872468,4.791208791208791,4.619565217391305,0.492936,0.496,0.509,80.04,159.853,0.493,158,159,160.0,333,345,347.0,0.26250952074364897,0.20669871794871794,0.36,0.438,417,405,403.0,92,91,90.0
gpt_standard,0.25,10.107,0,239.893,750,0.040428,0.032,0.032,1.0,1.0,1.0,0.07744282148622944,0.06201550387596899,0.06201550387596899,0.0,0.0,0.0,0.0,0.010107,0.008,0.008,1.0,1.0,1.0,1.0,0.760107,0.758,0.758,80.04,159.853,0.76,242,242,240.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.01,750,750,750.0,8,8,10.0
gpt_structured,0.25,10.107,0,239.893,750,0.040428,0.032,0.032,1.0,1.0,1.0,0.07744282148622944,0.06201550387596899,0.06201550387596899,0.0,0.0,0.0,0.0,0.010107,0.008,0.008,1.0,1.0,1.0,1.0,0.760107,0.758,0.758,80.04,159.853,0.76,242,242,240.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.01,750,750,750.0,8,8,10.0
deepseek,0.25,10.107,0,239.893,750,0.040428,0.032,0.032,1.0,1.0,1.0,0.07744282148622944,0.06201550387596899,0.06201550387596899,0.0,0.0,0.0,0.0,0.010107,0.008,0.008,1.0,1.0,1.0,1.0,0.760107,0.758,0.758,80.04,159.853,0.76,242,242,240.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.01,750,750,750.0,8,8,10.0
