variant_id,precision_at_10,recall_at_10,tp_at_10,fp_at_10,precision_at_20,recall_at_20,tp_at_20,fp_at_20,precision_at_50,recall_at_50,tp_at_50,fp_at_50,precision_at_100,recall_at_100,tp_at_100,fp_at_100,average_precision,auprc,label_strong_action_overclaim_at_100,label_mild_scope_overclaim_at_100,label_contradiction_candidate_at_100,label_supported_at_100
A_flag_only,0.4,0.036697,4,6,0.35,0.06422,7,13,0.36,0.165138,18,32,0.36,0.330275,36,64,0.356203,0.356203,36,26,15,23
B_p_strong_desc,0.4,0.036697,4,6,0.35,0.06422,7,13,0.32,0.146789,16,34,0.33,0.302752,33,67,0.331812,0.331812,33,24,21,22
C_guarded_strong_score,0.5,0.045872,5,5,0.35,0.06422,7,13,0.34,0.155963,17,33,0.35,0.321101,35,65,0.339498,0.339498,35,29,14,22
D_confidence_guarded,0.5,0.045872,5,5,0.4,0.073394,8,12,0.32,0.146789,16,34,0.36,0.330275,36,64,0.353871,0.353871,36,28,13,23
E_selector_confidence,0.4,0.036697,4,6,0.35,0.06422,7,13,0.36,0.165138,18,32,0.3,0.275229,30,70,0.334862,0.334862,30,31,12,27
F_short_span_bonus,0.4,0.036697,4,6,0.4,0.073394,8,12,0.32,0.146789,16,34,0.36,0.330275,36,64,0.350895,0.350895,36,28,13,23
G_conservative_precision,0.4,0.036697,4,6,0.45,0.082569,9,11,0.36,0.165138,18,32,0.36,0.330275,36,64,0.353208,0.353208,36,30,13,21
H_balanced_review_score,0.3,0.027523,3,7,0.25,0.045872,5,15,0.38,0.174312,19,31,0.3,0.275229,30,70,0.32307,0.32307,30,30,10,30
