file_path,file_name,extension,size,last_write_time,matched_keyword,likely_asset_type
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\mixed_framework_router_readiness_gate.json,mixed_framework_router_readiness_gate.json,.json,3355,2026-07-03T12:10:33.329201,mixed_framework|router|readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\router_threshold_search_by_seed.csv,router_threshold_search_by_seed.csv,.csv,2033,2026-07-03T12:04:55.995992,router|threshold,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\router_threshold_summary.json,router_threshold_summary.json,.json,439,2026-07-03T12:04:55.997996,router|threshold,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\routing_variant_results_by_seed.csv,routing_variant_results_by_seed.csv,.csv,15543,2026-07-03T12:09:52.732256,routing,routing_logic
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\routing_variant_summary.json,routing_variant_summary.json,.json,3944,2026-07-03T12:09:52.738362,routing,routing_logic
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\strong_action_error_cases_after_router.csv,strong_action_error_cases_after_router.csv,.csv,24533,2026-07-03T12:10:33.309823,router,routing_logic
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_ablation_summary.json,frozen_r4_ablation_summary.json,.json,2833,2026-07-03T12:09:53.936418,r4|frozen,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_manifest.json,frozen_r4_manifest.json,.json,1669,2026-07-03T12:23:42.852560,r4|frozen|manifest,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_method_selection.csv,frozen_r4_method_selection.csv,.csv,948,2026-07-03T12:10:33.319108,r4|frozen,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_metrics_summary.json,frozen_r4_metrics_summary.json,.json,623,2026-07-03T12:23:31.596477,r4|frozen,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_readiness_gate.json,frozen_r4_readiness_gate.json,.json,3355,2026-07-03T12:10:33.329201,r4|frozen|readiness_gate,threshold
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_routing_results_by_seed.csv,frozen_r4_routing_results_by_seed.csv,.csv,15543,2026-07-03T12:09:52.732256,routing|r4|frozen,threshold
